ID,Type_Bowl,Type_Box,Type_Robot,Type_Region,Property_V,Property_G,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
Robot_hand,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
Box1,0,1,0,0,0,1,0.1627415340301768,-0.335451736613953,0.0008921112311941,10.968713891844317,139.0475739067677,106.64567763893524
Box2,0,1,0,0,1,1,0.2121830725337731,-0.344051920456919,0.0926987391946682,150.31967984282602,-14.438459119311034,-118.8977355805549
Box3,0,1,0,0,0,1,0.2003615410537754,-0.4054323943820837,0.0443252530055884,137.0297953387568,-158.73101922929803,142.74378834905588
Box4,0,1,0,0,1,1,0.1349354909615311,-0.3428603434987707,0.0711191381830714,28.34858730432967,58.74610141158223,-82.674506730609
Box5,0,1,0,0,0,1,0.1590688511478544,-0.3356961126836917,0.0270788172145533,-83.74417058189704,134.49101768514856,-28.956725471571588
Box6,0,1,0,0,1,1,0.4161708274596732,0.051361572764713,0.0,0.0,0.0,-13.183185773350306
Box7,0,1,0,0,1,1,0.1781866568264148,0.2331648376616414,0.0,0.0,0.0,-44.95820024502219
Box8,0,1,0,0,0,1,0.1999080777750372,0.1684400219357575,0.0,0.0,0.0,-12.970323199860792
Box9,0,1,0,0,1,1,0.17689602067847,0.0257090105624309,0.0,0.0,0.0,20.942789510488225
Box_Bw1,0,1,0,0,0,1,0.1720088784683506,-0.4203986252785445,0.0572836711646862,55.80873113061304,-113.5402469578466,19.35561856059249
Box_Bw2,0,1,0,0,0,1,0.200068943417022,-0.340016096504581,0.0623455748526663,101.25084777017928,-117.06628559441596,157.0522221061151
Box_Bw3,0,1,0,0,0,1,0.1636701965411365,-0.387293761002884,0.0057353858186533,-20.708509817097024,27.715375955512627,-102.12321086665034
Box_Bw4,0,1,0,0,0,1,0.1291084845201991,-0.3409496794540437,0.0576321188260754,75.38234670189377,107.2438306376328,-171.0538588495535
Box_Bw5,0,1,0,0,1,1,0.1924021982349328,-0.4184675802919521,0.0793575886077216,169.46691127299704,-3.4526725004321293,-51.79065351370551
Bowl1,1,0,0,0,0,1,-0.2,-0.1,0.0,0.0,0.0,0.0
Bowl2,1,0,0,0,0,1,-0.2,-0.2,0.0,0.0,0.0,0.0
Bowl3,1,0,0,0,0,1,-0.2,-0.3,0.0,0.0,0.0,0.0
Bowl4,1,0,0,0,0,1,-0.2,-0.4,0.0,0.0,0.0,0.0
Bowl5,1,0,0,0,0,1,-0.2,-0.5,0.0,0.0,0.0,0.0
Bowl6,1,0,0,0,0,1,-0.1,-0.4,0.0,0.0,0.0,0.0
Bowl7,1,0,0,0,0,1,0.1641981508581276,-0.3854161710819137,0.0,0.0,0.0,0.0
Region_Bw1,0,0,0,1,0,0,-0.2,-0.1,0.0,0.0,0.0,0.0
Region_Bw2,0,0,0,1,0,0,-0.2,-0.2,0.0,0.0,0.0,0.0
Region_Bw3,0,0,0,1,0,0,-0.2,-0.3,0.0,0.0,0.0,0.0
Region_Bw4,0,0,0,1,0,0,-0.2,-0.4,0.0,0.0,0.0,0.0
Region_Bw5,0,0,0,1,0,0,-0.2,-0.5,0.0,0.0,0.0,0.0
Region_Bw6,0,0,0,1,0,0,-0.1,-0.4,0.0,0.0,0.0,0.0
Region_Bw7,0,0,0,1,0,0,-0.1,-0.5,0.0,0.0,0.0,0.0
Region_Stack,0,0,0,1,0,0,0.15,0.3,0.0,0.0,0.0,0.0
Region_Pour,0,0,0,1,0,0,0.15,-0.3,0.0,0.0,0.0,0.0
Region_Free,0,0,0,1,0,0,0.15,0.0,0.0,0.0,0.0,0.0
Region_Clean,0,0,0,1,0,0,-0.15,0.45,0.0,0.0,0.0,0.0
