ID,Type_Bowl,Type_Box,Type_Robot,Type_Region,Property_V,Property_G,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
Robot_hand,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
Box1,0,1,0,0,1,1,0.17030068153408395,-0.47666696737745945,0.03755209913585753,96.63068093590965,124.91437700813475,-91.99195777619389
Box2,0,1,0,0,1,1,0.16475910088028284,-0.45131052349633566,0.08958409236755394,157.6420195672174,-65.97991520065725,-125.67150382287893
Box3,0,1,0,0,1,1,0.11410554923196867,-0.4539132649113128,0.04208088135782098,-121.5191320949567,22.323936673937283,15.204678272798958
Box4,0,1,0,0,0,1,0.1866933755549383,-0.45152527398702674,0.07526976882085905,63.56339516837889,-70.92818509578474,-160.1196320415246
Box5,0,1,0,0,1,1,0.18338026007565406,-0.42294321053649797,0.05995423289402177,169.85248931238465,136.4511306211266,-88.78893159338493
Box6,0,1,0,0,0,1,0.3208252286937907,0.2554907684366699,0.0,0.0,0.0,-3.649799764897729
Box7,0,1,0,0,1,1,0.3959930596316013,0.0566496649443422,0.0,0.0,0.0,-31.50168494620169
Box8,0,1,0,0,0,1,0.4049286935423291,0.1353362561792235,0.0,0.0,0.0,40.30816476598376
Box9,0,1,0,0,0,1,0.4057273757223884,0.2391539241923821,0.0,0.0,0.0,22.325281821632004
Box_Bw1,0,1,0,0,1,1,0.1416236017586373,-0.4429834263057535,0.06923178286204487,153.42274287275336,-114.43442995949101,-130.36279586090387
Box_Bw2,0,1,0,0,1,1,0.20007482058042564,-0.46391728938766746,0.02541129333918614,77.36974017556105,-69.12595678739206,-33.41175462502417
Box_Bw3,0,1,0,0,0,1,0.14852770325079662,-0.4420265384212722,0.09905637109128469,-19.208044671956515,-146.98565614344292,-147.6329616722138
Box_Bw4,0,1,0,0,1,1,0.11977182954573116,-0.4858633377234279,0.031421870154513275,-12.040431247858152,22.74036253737171,-5.791837297543424
Box_Bw5,0,1,0,0,1,1,0.20560322935378406,-0.40409584924111736,0.08046724460361565,143.36624301029303,-30.00101433102202,-154.77544309536978
Bowl1,1,0,0,0,0,1,-0.2,-0.1,0.0,0.0,0.0,0.0
Bowl2,1,0,0,0,0,1,-0.2,-0.2,0.0,0.0,0.0,0.0
Bowl3,1,0,0,0,0,1,-0.2,-0.3,0.0,0.0,0.0,0.0
Bowl4,1,0,0,0,0,1,-0.2,-0.4,0.0,0.0,0.0,0.0
Bowl5,1,0,0,0,0,1,-0.2,-0.5,0.0,0.0,0.0,0.0
Bowl6,1,0,0,0,0,1,0.0,0.0,0.5,0.0,0.0,0.0
Bowl7,1,0,0,0,0,1,0.1569503197417707,-0.4490250079689517,0.0,0.0,0.0,0.0
Region_Bw1,0,0,0,1,0,0,-0.2,-0.1,0.0,0.0,0.0,0.0
Region_Bw2,0,0,0,1,0,0,-0.2,-0.2,0.0,0.0,0.0,0.0
Region_Bw3,0,0,0,1,0,0,-0.2,-0.3,0.0,0.0,0.0,0.0
Region_Bw4,0,0,0,1,0,0,-0.2,-0.4,0.0,0.0,0.0,0.0
Region_Bw5,0,0,0,1,0,0,-0.2,-0.5,0.0,0.0,0.0,0.0
Region_Bw6,0,0,0,1,0,0,-0.1,-0.4,0.0,0.0,0.0,0.0
Region_Bw7,0,0,0,1,0,0,-0.1,-0.5,0.0,0.0,0.0,0.0
Region_Stack,0,0,0,1,0,0,0.15,0.3,0.0,0.0,0.0,0.0
Region_Pour,0,0,0,1,0,0,0.15,-0.3,0.0,0.0,0.0,0.0
Region_Free,0,0,0,1,0,0,0.15,0.0,0.0,0.0,0.0,0.0
Region_Clean,0,0,0,1,0,0,-0.15,0.45,0.0,0.0,0.0,0.0
